"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","Bucketeer State","IIIF Access URL"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990704_002.tif","Page","Page 2","2","ark:/21198/z1k452ns","ark:/21198/z1x445r3","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x445r3"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990704_003.tif","Page","Page 3","3","ark:/21198/z1k452ns","ark:/21198/z1sc3dzg","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sc3dzg"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990705_001.tif","Page","Page 1","1","ark:/21198/z1fc4b0c","ark:/21198/z1nm2p6q","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nm2p6q"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990705_002.tif","Page","Page 2","2","ark:/21198/z1fc4b0c","ark:/21198/z1hv1xjw","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hv1xjw"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990705_003.tif","Page","Page 3","3","ark:/21198/z1fc4b0c","ark:/21198/z1d59w49","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d59w49"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990706_001.tif","Page","Page 1","1","ark:/21198/z19m3k93","ark:/21198/z18d94gv","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18d94gv"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990706_002.tif","Page","Page 2","2","ark:/21198/z19m3k93","ark:/21198/z14n8ct1","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14n8ct1"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990706_003.tif","Page","Page 3","3","ark:/21198/z19m3k93","ark:/21198/z10w7n1t","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10w7n1t"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990707_001.tif","Page","Page 1","1","ark:/21198/z15v2tkc","ark:/21198/z1w474jt","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w474jt"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990707_002.tif","Page","Page 2","2","ark:/21198/z15v2tkc","ark:/21198/z1rc6csn","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rc6csn"
