File Name,Object Type,Title,Item Sequence,Issue Sequence,Visibility,Parent ARK,Issue ARK,Item ARK,Bucketeer State,IIIF Access URL,Range.1,Range.2
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19571126_001.tif,Page,Page 1,34,1,open,ark:/21198/z1c56f5x,ark:/21198/z16h7bs1,ark:/21198/z1545h38,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1545h38,1957,1957-11-26 (vol. 01 | no. 12)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19571126_002.tif,Page,Page 2,35,2,open,ark:/21198/z1c56f5x,ark:/21198/z16h7bs1,ark:/21198/z11c4rcj,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11c4rcj,1957,1957-11-26 (vol. 01 | no. 12)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19571126_003.tif,Page,Page 3,36,3,open,ark:/21198/z1c56f5x,ark:/21198/z16h7bs1,ark:/21198/z1wq2z84,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq2z84,1957,1957-11-26 (vol. 01 | no. 12)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19571126_004.tif,Page,Page 4,37,4,open,ark:/21198/z1c56f5x,ark:/21198/z16h7bs1,ark:/21198/z1rz26hb,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rz26hb,1957,1957-11-26 (vol. 01 | no. 12)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19571126_005.tif,Page,Page 5,38,5,open,ark:/21198/z1c56f5x,ark:/21198/z16h7bs1,ark:/21198/z1n61fvt,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n61fvt,1957,1957-11-26 (vol. 01 | no. 12)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19571126_006.tif,Page,Page 6,39,6,open,ark:/21198/z1c56f5x,ark:/21198/z16h7bs1,ark:/21198/z1hf0q5z,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hf0q5z,1957,1957-11-26 (vol. 01 | no. 12)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19571126_007.tif,Page,Page 7,40,7,open,ark:/21198/z1c56f5x,ark:/21198/z16h7bs1,ark:/21198/z1cn9zd7,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cn9zd7,1957,1957-11-26 (vol. 01 | no. 12)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19571205_001.tif,Page,Page 1,41,1,open,ark:/21198/z1c56f5x,ark:/21198/z12r6m35,ark:/21198/z17w96nf,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17w96nf,1957,1957-12-05 (vol. 01 | no. 13)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19571205_002.tif,Page,Page 2,42,2,open,ark:/21198/z1c56f5x,ark:/21198/z12r6m35,ark:/21198/z1448fx1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1448fx1,1957,1957-12-05 (vol. 01 | no. 13)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19571205_003.tif,Page,Page 3,43,3,open,ark:/21198/z1c56f5x,ark:/21198/z12r6m35,ark:/21198/z10g6dm1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10g6dm1,1957,1957-12-05 (vol. 01 | no. 13)
