File Name,Object Type,Title,Item Sequence,Issue Sequence,Parent ARK,Issue ARK,Item ARK,Bucketeer State,Visibility,IIIF Access URL,Range.1,Range.2,media.height,media.width
Masters/othermasters/DEPaccion/images/ihc_accion_19580602_014.tif,Page,Page 14,43,3,ark:/21198/z1g47b1v,ark:/21198/z1np4r43,ark:/21198/z1jx11rt,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jx11rt,1958,1958-06-02,1352,2049
Masters/othermasters/DEPaccion/images/ihc_accion_19580602_015.tif,Page,Page 15,44,3,ark:/21198/z1g47b1v,ark:/21198/z1np4r43,ark:/21198/z1f5091t,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f5091t,1958,1958-06-02,1402,1034
Masters/othermasters/DEPaccion/images/ihc_accion_19580609_001.tif,Page,Page 1,45,4,ark:/21198/z1g47b1v,ark:/21198/z1fx9x4m,ark:/21198/z19c9j83,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19c9j83,1958,1958-06-09,1553,1146
Masters/othermasters/DEPaccion/images/ihc_accion_19580609_002.tif,Page,Page 2,46,4,ark:/21198/z1g47b1v,ark:/21198/z1fx9x4m,ark:/21198/z15m8sjc,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15m8sjc,1958,1958-06-09,1324,1916
Masters/othermasters/DEPaccion/images/ihc_accion_19580609_003.tif,Page,Page 3,47,4,ark:/21198/z1g47b1v,ark:/21198/z1fx9x4m,ark:/21198/z11v81t1,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11v81t1,1958,1958-06-09,1334,1955
Masters/othermasters/DEPaccion/images/ihc_accion_19580609_004.tif,Page,Page 4,48,4,ark:/21198/z1g47b1v,ark:/21198/z1fx9x4m,ark:/21198/z1sb6smb,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sb6smb,1958,1958-06-09,1298,1935
Masters/othermasters/DEPaccion/images/ihc_accion_19580609_005.tif,Page,Page 5,49,4,ark:/21198/z1g47b1v,ark:/21198/z1fx9x4m,ark:/21198/z1hx40jj,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hx40jj,1958,1958-06-09,1319,1915
Masters/othermasters/DEPaccion/images/ihc_accion_19580609_006.tif,Page,Page 6,50,4,ark:/21198/z1g47b1v,ark:/21198/z1fx9x4m,ark:/21198/z1d537r7,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d537r7,1958,1958-06-09,1306,1935
Masters/othermasters/DEPaccion/images/ihc_accion_19580609_007.tif,Page,Page 7,51,4,ark:/21198/z1g47b1v,ark:/21198/z1fx9x4m,ark:/21198/z18d2h2c,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18d2h2c,1958,1958-06-09,1324,1919
Masters/othermasters/DEPaccion/images/ihc_accion_19580609_008.tif,Page,Page 8,52,4,ark:/21198/z1g47b1v,ark:/21198/z1fx9x4m,ark:/21198/z14n1rdj,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14n1rdj,1958,1958-06-09,1259,1894
Masters/othermasters/DEPaccion/images/ihc_accion_19580609_009.tif,Page,Page 9,53,4,ark:/21198/z1g47b1v,ark:/21198/z1fx9x4m,ark:/21198/z10w10m9,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10w10m9,1958,1958-06-09,1321,1937
Masters/othermasters/DEPaccion/images/ihc_accion_19580609_010.tif,Page,Page 10,54,4,ark:/21198/z1g47b1v,ark:/21198/z1fx9x4m,ark:/21198/z1w40h67,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w40h67,1958,1958-06-09,1309,1976
Masters/othermasters/DEPaccion/images/ihc_accion_19580609_011.tif,Page,Page 11,55,4,ark:/21198/z1g47b1v,ark:/21198/z1fx9x4m,ark:/21198/z1rf8fxq,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rf8fxq,1958,1958-06-09,1290,1994
Masters/othermasters/DEPaccion/images/ihc_accion_19580609_012.tif,Page,Page 12,56,4,ark:/21198/z1g47b1v,ark:/21198/z1fx9x4m,ark:/21198/z1mp7q5z,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mp7q5z,1958,1958-06-09,1300,1953
Masters/othermasters/DEPaccion/images/ihc_accion_19580609_013.tif,Page,Page 13,57,4,ark:/21198/z1g47b1v,ark:/21198/z1fx9x4m,ark:/21198/z1gx6zds,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx6zds,1958,1958-06-09,1321,1969
Masters/othermasters/DEPaccion/images/ihc_accion_19580609_014.tif,Page,Page 14,58,4,ark:/21198/z1g47b1v,ark:/21198/z1fx9x4m,ark:/21198/z1c566pr,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c566pr,1958,1958-06-09,1321,1969
Masters/othermasters/DEPaccion/images/ihc_accion_19580609_015.tif,Page,Page 15,59,4,ark:/21198/z1g47b1v,ark:/21198/z1fx9x4m,ark:/21198/z17d5g1b,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17d5g1b,1958,1958-06-09,1298,1089
