File Name,Object Type,Title,Item Sequence,Issue Sequence,Visibility,Parent ARK,Issue ARK,Item ARK,Bucketeer State,IIIF Access URL,Range.1,Range.2
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19581006_014.tif,Page,Page 14,67,14,open,ark:/21198/z1md1thn,ark:/21198/z1b020cp,ark:/21198/z17q1sx9,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17q1sx9,1958,1958-10-06
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19581006_015.tif,Page,Page 15,68,15,open,ark:/21198/z1md1thn,ark:/21198/z1b020cp,ark:/21198/z13z125x,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13z125x,1958,1958-10-06
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19581006_016.tif,Page,Page 16,69,16,open,ark:/21198/z1md1thn,ark:/21198/z1b020cp,ark:/21198/z10609gz,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10609gz,1958,1958-10-06
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19581006_017.tif,Page,Page 17,70,17,open,ark:/21198/z1md1thn,ark:/21198/z1b020cp,ark:/21198/z1vh8hc0,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vh8hc0,1958,1958-10-06
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19581013_001.tif,Page,Page 1,71,1,open,ark:/21198/z1md1thn,ark:/21198/z16717pd,ark:/21198/z1qr7rn8,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qr7rn8,1958,1958-10-13
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19581013_002.tif,Page,Page 2,72,2,open,ark:/21198/z1md1thn,ark:/21198/z16717pd,ark:/21198/z1m070zp,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m070zp,1958,1958-10-13
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19581013_003.tif,Page,Page 3,73,3,open,ark:/21198/z1md1thn,ark:/21198/z16717pd,ark:/21198/z1g7687c,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g7687c,1958,1958-10-13
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19581013_004.tif,Page,Page 4,74,4,open,ark:/21198/z1md1thn,ark:/21198/z16717pd,ark:/21198/z1bg5hj3,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bg5hj3,1958,1958-10-13
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19581013_005.tif,Page,Page 5,75,5,open,ark:/21198/z1md1thn,ark:/21198/z16717pd,ark:/21198/z16q4rrg,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16q4rrg,1958,1958-10-13
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19581013_006.tif,Page,Page 6,76,6,open,ark:/21198/z1md1thn,ark:/21198/z16717pd,ark:/21198/z12z413f,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12z413f,1958,1958-10-13
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19581130_001.tif,Page,Page 1,77,1,open,ark:/21198/z1md1thn,ark:/21198/z12g0gzp,ark:/21198/z1z926x1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z926x1,1958,1958-11-30 (epoca II | no. 01)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19581130_002.tif,Page,Page 2,78,2,open,ark:/21198/z1md1thn,ark:/21198/z12g0gzp,ark:/21198/z1tj1g6q,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tj1g6q,1958,1958-11-30 (epoca II | no. 01)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19581130_003.tif,Page,Page 3,79,3,open,ark:/21198/z1md1thn,ark:/21198/z12g0gzp,ark:/21198/z1ps0qg0,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ps0qg0,1958,1958-11-30 (epoca II | no. 01)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19581130_004.tif,Page,Page 4,80,4,open,ark:/21198/z1md1thn,ark:/21198/z12g0gzp,ark:/21198/z1k09zsg,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k09zsg,1958,1958-11-30 (epoca II | no. 01)
