File Name,Object Type,Title,Item Sequence,Issue Sequence,Parent ARK,Issue ARK,Item ARK,Bucketeer State,Visibility,IIIF Access URL,Range.1
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350207_008.tif,Page,Page 8,134,8,ark:/21198/z1xd3r0n,ark:/21198/z1qn8x1m,ark:/21198/z19p5qx8,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19p5qx8,1935-02-07 (año 01 | num. 16)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350208_001.tif,Page,Page 1,135,1,ark:/21198/z1xd3r0n,ark:/21198/z1kw85bq,ark:/21198/z15x506b,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15x506b,1935-02-08 (año 01 | num. 17)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350208_002.tif,Page,Page 2,136,2,ark:/21198/z1xd3r0n,ark:/21198/z1kw85bq,ark:/21198/z12547jt,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12547jt,1935-02-08 (año 01 | num. 17)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350208_003.tif,Page,Page 3,137,3,ark:/21198/z1xd3r0n,ark:/21198/z1kw85bq,ark:/21198/z1xh2fgv,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xh2fgv,1935-02-08 (año 01 | num. 17)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350208_004.tif,Page,Page 4,138,4,ark:/21198/z1xd3r0n,ark:/21198/z1kw85bq,ark:/21198/z1sr1psk,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sr1psk,1935-02-08 (año 01 | num. 17)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350208_005.tif,Page,Page 5,139,5,ark:/21198/z1xd3r0n,ark:/21198/z1kw85bq,ark:/21198/z1p00z14,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p00z14,1935-02-08 (año 01 | num. 17)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350208_006.tif,Page,Page 6,140,6,ark:/21198/z1xd3r0n,ark:/21198/z1kw85bq,ark:/21198/z1j7068b,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j7068b,1935-02-08 (año 01 | num. 17)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350208_007.tif,Page,Page 7,141,7,ark:/21198/z1xd3r0n,ark:/21198/z1kw85bq,ark:/21198/z1df9fhm,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1df9fhm,1935-02-08 (año 01 | num. 17)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350208_008.tif,Page,Page 8,142,8,ark:/21198/z1xd3r0n,ark:/21198/z1kw85bq,ark:/21198/z18p8ptb,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18p8ptb,1935-02-08 (año 01 | num. 17)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350209_001.tif,Page,Page 1,143,1,ark:/21198/z1xd3r0n,ark:/21198/z1g47dnr,ark:/21198/z14x7z4g,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x7z4g,1935-02-09 (año 01 | num. 18)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350209_002.tif,Page,Page 2,144,2,ark:/21198/z1xd3r0n,ark:/21198/z1g47dnr,ark:/21198/z1185wtc,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1185wtc,1935-02-09 (año 01 | num. 18)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350209_003.tif,Page,Page 3,145,3,ark:/21198/z1xd3r0n,ark:/21198/z1g47dnr,ark:/21198/z1wh5dcx,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wh5dcx,1935-02-09 (año 01 | num. 18)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350209_004.tif,Page,Page 4,146,4,ark:/21198/z1xd3r0n,ark:/21198/z1g47dnr,ark:/21198/z1rr4nk9,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rr4nk9,1935-02-09 (año 01 | num. 18)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350209_005.tif,Page,Page 5,147,5,ark:/21198/z1xd3r0n,ark:/21198/z1g47dnr,ark:/21198/z1n03wvw,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n03wvw,1935-02-09 (año 01 | num. 18)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350209_006.tif,Page,Page 6,148,6,ark:/21198/z1xd3r0n,ark:/21198/z1g47dnr,ark:/21198/z1h73522,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h73522,1935-02-09 (año 01 | num. 18)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350209_007.tif,Page,Page 7,149,7,ark:/21198/z1xd3r0n,ark:/21198/z1g47dnr,ark:/21198/z1cg2dcs,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cg2dcs,1935-02-09 (año 01 | num. 18)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350209_008.tif,Page,Page 8,150,8,ark:/21198/z1xd3r0n,ark:/21198/z1g47dnr,ark:/21198/z17q1nrd,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17q1nrd,1935-02-09 (año 01 | num. 18)
