File Name,Object Type,Title,Item Sequence,Issue Sequence,Parent ARK,Issue ARK,Item ARK,Bucketeer State,Visibility,IIIF Access URL,Range.1,Range.2
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194207-194208_016.tif,Page,Page 16,68,16,ark:/21198/z1d81f1k,ark:/21198/z10z95wp,ark:/21198/z1wt0wv6,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt0wv6,1942,1942-07/1942-08 (año 01 | num. 02)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194207-194208_017.tif,Page,Page 17,69,17,ark:/21198/z1d81f1k,ark:/21198/z10z95wp,ark:/21198/z1s2054k,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s2054k,1942,1942-07/1942-08 (año 01 | num. 02)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194207-194208_018.tif,Page,Page 18,70,18,ark:/21198/z1d81f1k,ark:/21198/z10z95wp,ark:/21198/z1n89dcv,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n89dcv,1942,1942-07/1942-08 (año 01 | num. 02)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194207-194208_019.tif,Page,Page 19,71,19,ark:/21198/z1d81f1k,ark:/21198/z10z95wp,ark:/21198/z1hh8nn4,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hh8nn4,1942,1942-07/1942-08 (año 01 | num. 02)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194207-194208_020.tif,Page,Page 20,72,20,ark:/21198/z1d81f1k,ark:/21198/z10z95wp,ark:/21198/z1cr7x0q,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cr7x0q,1942,1942-07/1942-08 (año 01 | num. 02)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194207-194208_021.tif,Page,Page 21,73,21,ark:/21198/z1d81f1k,ark:/21198/z10z95wp,ark:/21198/z180758p,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz180758p,1942,1942-07/1942-08 (año 01 | num. 02)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194207-194208_022.tif,Page,Page 22,74,22,ark:/21198/z1d81f1k,ark:/21198/z10z95wp,ark:/21198/z1476djz,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1476djz,1942,1942-07/1942-08 (año 01 | num. 02)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194207-194208_023.tif,Page,Page 23,75,23,ark:/21198/z1d81f1k,ark:/21198/z10z95wp,ark:/21198/z10k4c6h,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10k4c6h,1942,1942-07/1942-08 (año 01 | num. 02)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194207-194208_024.tif,Page,Page 24,76,24,ark:/21198/z1d81f1k,ark:/21198/z10z95wp,ark:/21198/z1vt3vqt,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vt3vqt,1942,1942-07/1942-08 (año 01 | num. 02)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194207-194208_025.tif,Page,Page 25,77,25,ark:/21198/z1d81f1k,ark:/21198/z10z95wp,ark:/21198/z1r23406,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r23406,1942,1942-07/1942-08 (año 01 | num. 02)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194207-194208_026.tif,Page,Page 26,78,26,ark:/21198/z1d81f1k,ark:/21198/z10z95wp,ark:/21198/z1m92c71,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m92c71,1942,1942-07/1942-08 (año 01 | num. 02)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194207-194208_027.tif,Page,Page 27,79,27,ark:/21198/z1d81f1k,ark:/21198/z10z95wp,ark:/21198/z1gj1mk6,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gj1mk6,1942,1942-07/1942-08 (año 01 | num. 02)
